Board_key,Board,Algorithm,Time execution,Explored nodes,,,,,
19,"[[2, 0, 8, 1, 0, 0, 0, 5, 0], [0, 1, 0, 5, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 9, 7], [1, 2, 3, 9, 0, 5, 0, 0, 0], [0, 0, 0, 2, 7, 0, 0, 0, 3], [0, 0, 0, 0, 0, 1, 9, 0, 0], [0, 8, 1, 0, 0, 0, 0, 0, 0], [0, 7, 0, 0, 5, 9, 8, 4, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
19,"[[2, 0, 8, 1, 0, 0, 0, 5, 0], [0, 1, 0, 5, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 9, 7], [1, 2, 3, 9, 0, 5, 0, 0, 0], [0, 0, 0, 2, 7, 0, 0, 0, 3], [0, 0, 0, 0, 0, 1, 9, 0, 0], [0, 8, 1, 0, 0, 0, 0, 0, 0], [0, 7, 0, 0, 5, 9, 8, 4, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0]]",aStarSearch,4.229447842,91,,,,,
20,"[[0, 2, 3, 0, 5, 8, 0, 0, 0], [0, 0, 0, 6, 9, 0, 1, 0, 0], [9, 0, 0, 0, 2, 0, 0, 4, 5], [2, 0, 0, 9, 4, 5, 0, 0, 0], [0, 0, 0, 8, 7, 0, 0, 1, 2], [0, 5, 6, 0, 1, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 9, 0, 3, 0, 2, 0, 1], [0, 4, 0, 0, 0, 1, 0, 0, 9]]",depthFirstSearch,33.30171728,691,,,,,
20,"[[0, 2, 3, 0, 5, 8, 0, 0, 0], [0, 0, 0, 6, 9, 0, 1, 0, 0], [9, 0, 0, 0, 2, 0, 0, 4, 5], [2, 0, 0, 9, 4, 5, 0, 0, 0], [0, 0, 0, 8, 7, 0, 0, 1, 2], [0, 5, 6, 0, 1, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 9, 0, 3, 0, 2, 0, 1], [0, 4, 0, 0, 0, 1, 0, 0, 9]]",aStarSearch,3.094722033,54,,,,,
21,"[[0, 0, 3, 0, 0, 0, 5, 6, 0], [0, 0, 9, 5, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 3, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 5], [0, 7, 6, 0, 0, 0, 0, 0, 8], [0, 9, 0, 0, 7, 4, 0, 0, 0], [0, 3, 0, 0, 4, 2, 0, 5, 0], [9, 4, 0, 0, 0, 0, 0, 0, 6], [0, 0, 5, 3, 0, 0, 4, 0, 0]]",depthFirstSearch,67.16783667,1370,,,,,
21,"[[0, 0, 3, 0, 0, 0, 5, 6, 0], [0, 0, 9, 5, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 3, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 5], [0, 7, 6, 0, 0, 0, 0, 0, 8], [0, 9, 0, 0, 7, 4, 0, 0, 0], [0, 3, 0, 0, 4, 2, 0, 5, 0], [9, 4, 0, 0, 0, 0, 0, 0, 6], [0, 0, 5, 3, 0, 0, 4, 0, 0]]",aStarSearch,TIMEOUT,TIMEOUT,,,,,
22,"[[1, 2, 0, 4, 0, 0, 0, 0, 7], [4, 8, 0, 5, 0, 0, 0, 0, 3], [5, 6, 0, 0, 2, 0, 0, 4, 9], [0, 0, 8, 0, 0, 4, 0, 7, 0], [0, 0, 5, 0, 1, 0, 4, 0, 2], [0, 0, 6, 0, 0, 2, 9, 0, 0], [0, 0, 0, 2, 0, 0, 0, 1, 6], [0, 0, 1, 3, 0, 0, 0, 5, 0], [0, 5, 0, 0, 0, 1, 0, 0, 0]]",depthFirstSearch,5.293076277,162,,,,,
22,"[[1, 2, 0, 4, 0, 0, 0, 0, 7], [4, 8, 0, 5, 0, 0, 0, 0, 3], [5, 6, 0, 0, 2, 0, 0, 4, 9], [0, 0, 8, 0, 0, 4, 0, 7, 0], [0, 0, 5, 0, 1, 0, 4, 0, 2], [0, 0, 6, 0, 0, 2, 9, 0, 0], [0, 0, 0, 2, 0, 0, 0, 1, 6], [0, 0, 1, 3, 0, 0, 0, 5, 0], [0, 5, 0, 0, 0, 1, 0, 0, 0]]",aStarSearch,8.913883209,143,,,,,
23,"[[1, 2, 0, 0, 4, 0, 9, 6, 7], [4, 8, 0, 1, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 3, 8, 0, 0], [0, 1, 8, 0, 0, 0, 0, 0, 0], [9, 3, 0, 7, 0, 0, 0, 0, 0], [0, 5, 0, 0, 1, 2, 0, 0, 3], [0, 0, 2, 6, 5, 0, 0, 0, 9], [0, 7, 0, 0, 8, 9, 0, 0, 1], [6, 0, 0, 0, 0, 7, 2, 5, 0]]",depthFirstSearch,24.91320252,580,,,,,
23,"[[1, 2, 0, 0, 4, 0, 9, 6, 7], [4, 8, 0, 1, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 3, 8, 0, 0], [0, 1, 8, 0, 0, 0, 0, 0, 0], [9, 3, 0, 7, 0, 0, 0, 0, 0], [0, 5, 0, 0, 1, 2, 0, 0, 3], [0, 0, 2, 6, 5, 0, 0, 0, 9], [0, 7, 0, 0, 8, 9, 0, 0, 1], [6, 0, 0, 0, 0, 7, 2, 5, 0]]",aStarSearch,5.83439517,102,,,,,
24,"[[0, 2, 0, 0, 9, 8, 5, 0, 0], [0, 0, 9, 0, 0, 7, 0, 0, 0], [0, 7, 6, 1, 0, 0, 8, 0, 4], [8, 0, 0, 0, 0, 5, 6, 0, 0], [2, 0, 1, 7, 8, 0, 0, 0, 9], [0, 0, 7, 0, 0, 6, 2, 4, 0], [0, 0, 0, 6, 4, 0, 0, 3, 5], [0, 0, 5, 0, 0, 0, 4, 0, 2], [0, 0, 2, 0, 0, 0, 0, 0, 6]]",depthFirstSearch,15.49704814,373,,,,,
24,"[[0, 2, 0, 0, 9, 8, 5, 0, 0], [0, 0, 9, 0, 0, 7, 0, 0, 0], [0, 7, 6, 1, 0, 0, 8, 0, 4], [8, 0, 0, 0, 0, 5, 6, 0, 0], [2, 0, 1, 7, 8, 0, 0, 0, 9], [0, 0, 7, 0, 0, 6, 2, 4, 0], [0, 0, 0, 6, 4, 0, 0, 3, 5], [0, 0, 5, 0, 0, 0, 4, 0, 2], [0, 0, 2, 0, 0, 0, 0, 0, 6]]",aStarSearch,3.781036377,58,,,,,
25,"[[0, 2, 4, 0, 0, 0, 6, 5, 0], [3, 5, 0, 0, 7, 0, 0, 0, 4], [6, 9, 0, 0, 0, 0, 8, 1, 0], [2, 0, 0, 0, 1, 4, 0, 0, 0], [9, 1, 0, 0, 8, 7, 0, 0, 2], [0, 7, 6, 0, 0, 0, 0, 0, 9], [8, 0, 1, 0, 0, 0, 7, 0, 0], [0, 4, 0, 0, 0, 0, 2, 6, 8], [0, 0, 0, 8, 0, 0, 0, 3, 1]]",depthFirstSearch,26.54872537,660,,,,,
25,"[[0, 2, 4, 0, 0, 0, 6, 5, 0], [3, 5, 0, 0, 7, 0, 0, 0, 4], [6, 9, 0, 0, 0, 0, 8, 1, 0], [2, 0, 0, 0, 1, 4, 0, 0, 0], [9, 1, 0, 0, 8, 7, 0, 0, 2], [0, 7, 6, 0, 0, 0, 0, 0, 9], [8, 0, 1, 0, 0, 0, 7, 0, 0], [0, 4, 0, 0, 0, 0, 2, 6, 8], [0, 0, 0, 8, 0, 0, 0, 3, 1]]",aStarSearch,8.079389334,134,,,,,
26,"[[1, 0, 0, 0, 5, 6, 9, 0, 7], [9, 0, 0, 0, 4, 0, 0, 0, 3], [0, 0, 3, 9, 0, 8, 0, 5, 0], [0, 1, 9, 4, 8, 0, 0, 0, 0], [3, 0, 0, 0, 7, 0, 1, 0, 2], [5, 0, 7, 0, 0, 0, 3, 0, 0], [0, 9, 0, 5, 3, 0, 0, 6, 0], [4, 3, 0, 0, 6, 0, 5, 2, 0], [0, 7, 5, 8, 2, 0, 0, 3, 0]]",depthFirstSearch,12.09080243,323,,,,,
